date_id,date,year,month,month_name,day,weekday_name,is_weekend
103,2025-04-13,2025,4,Apr,13,Sunday,1
104,2025-04-14,2025,4,Apr,14,Monday,0
105,2025-04-15,2025,4,Apr,15,Tuesday,0
106,2025-04-16,2025,4,Apr,16,Wednesday,0
107,2025-04-17,2025,4,Apr,17,Thursday,0
108,2025-04-18,2025,4,Apr,18,Friday,0
109,2025-04-19,2025,4,Apr,19,Saturday,1
110,2025-04-20,2025,4,Apr,20,Sunday,1
111,2025-04-21,2025,4,Apr,21,Monday,0
112,2025-04-22,2025,4,Apr,22,Tuesday,0
113,2025-04-23,2025,4,Apr,23,Wednesday,0
114,2025-04-24,2025,4,Apr,24,Thursday,0
115,2025-04-25,2025,4,Apr,25,Friday,0
116,2025-04-26,2025,4,Apr,26,Saturday,1
117,2025-04-27,2025,4,Apr,27,Sunday,1
118,2025-04-28,2025,4,Apr,28,Monday,0
119,2025-04-29,2025,4,Apr,29,Tuesday,0
120,2025-04-30,2025,4,Apr,30,Wednesday,0
121,2025-05-01,2025,5,May,1,Thursday,0
122,2025-05-02,2025,5,May,2,Friday,0
123,2025-05-03,2025,5,May,3,Saturday,1
124,2025-05-04,2025,5,May,4,Sunday,1
125,2025-05-05,2025,5,May,5,Monday,0
126,2025-05-06,2025,5,May,6,Tuesday,0
127,2025-05-07,2025,5,May,7,Wednesday,0
128,2025-05-08,2025,5,May,8,Thursday,0
129,2025-05-09,2025,5,May,9,Friday,0
130,2025-05-10,2025,5,May,10,Saturday,1
131,2025-05-11,2025,5,May,11,Sunday,1
132,2025-05-12,2025,5,May,12,Monday,0
133,2025-05-13,2025,5,May,13,Tuesday,0
134,2025-05-14,2025,5,May,14,Wednesday,0
135,2025-05-15,2025,5,May,15,Thursday,0
136,2025-05-16,2025,5,May,16,Friday,0
137,2025-05-17,2025,5,May,17,Saturday,1
138,2025-05-18,2025,5,May,18,Sunday,1
139,2025-05-19,2025,5,May,19,Monday,0
140,2025-05-20,2025,5,May,20,Tuesday,0
141,2025-05-21,2025,5,May,21,Wednesday,0
142,2025-05-22,2025,5,May,22,Thursday,0
143,2025-05-23,2025,5,May,23,Friday,0
144,2025-05-24,2025,5,May,24,Saturday,1
145,2025-05-25,2025,5,May,25,Sunday,1
146,2025-05-26,2025,5,May,26,Monday,0
147,2025-05-27,2025,5,May,27,Tuesday,0
148,2025-05-28,2025,5,May,28,Wednesday,0
149,2025-05-29,2025,5,May,29,Thursday,0
150,2025-05-30,2025,5,May,30,Friday,0
151,2025-05-31,2025,5,May,31,Saturday,1
152,2025-06-01,2025,6,Jun,1,Sunday,1
153,2025-06-02,2025,6,Jun,2,Monday,0
154,2025-06-03,2025,6,Jun,3,Tuesday,0
155,2025-06-04,2025,6,Jun,4,Wednesday,0
156,2025-06-05,2025,6,Jun,5,Thursday,0
157,2025-06-06,2025,6,Jun,6,Friday,0
158,2025-06-07,2025,6,Jun,7,Saturday,1
159,2025-06-08,2025,6,Jun,8,Sunday,1
160,2025-06-09,2025,6,Jun,9,Monday,0
161,2025-06-10,2025,6,Jun,10,Tuesday,0
162,2025-06-11,2025,6,Jun,11,Wednesday,0
163,2025-06-12,2025,6,Jun,12,Thursday,0
164,2025-06-13,2025,6,Jun,13,Friday,0
165,2025-06-14,2025,6,Jun,14,Saturday,1
166,2025-06-15,2025,6,Jun,15,Sunday,1
167,2025-06-16,2025,6,Jun,16,Monday,0
168,2025-06-17,2025,6,Jun,17,Tuesday,0
169,2025-06-18,2025,6,Jun,18,Wednesday,0
170,2025-06-19,2025,6,Jun,19,Thursday,0
171,2025-06-20,2025,6,Jun,20,Friday,0
172,2025-06-21,2025,6,Jun,21,Saturday,1
173,2025-06-22,2025,6,Jun,22,Sunday,1
174,2025-06-23,2025,6,Jun,23,Monday,0
175,2025-06-24,2025,6,Jun,24,Tuesday,0
176,2025-06-25,2025,6,Jun,25,Wednesday,0
177,2025-06-26,2025,6,Jun,26,Thursday,0
178,2025-06-27,2025,6,Jun,27,Friday,0
179,2025-06-28,2025,6,Jun,28,Saturday,1
180,2025-06-29,2025,6,Jun,29,Sunday,1
181,2025-06-30,2025,6,Jun,30,Monday,0
